,idea,TP,scientists_invested,times_invested,avg_k,total_effort (marginal),prop_invested,total_pr,total_ar
228,228,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,229,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,230,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,231,7,19.0,37.0,21.24,534.9087990811748,0.8915146651352914,9516.19,9548.0
232,232,7,1.0,1.0,10.83,27.315629080287117,0.0455260484671452,77.48,69.66
233,233,7,1.0,1.0,11.48,1.8613356245529822,0.0031022260409216368,34.21,36.58
234,234,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,235,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,236,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,237,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,238,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,239,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,240,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,241,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,242,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,243,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,244,8,1.0,1.0,16.55,19.665763633783843,0.03277627272297307,80.69,78.5
245,245,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,246,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,247,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,248,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,249,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,250,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,251,8,15.0,34.0,17.07,576.7548898431044,0.9612581497385073,9543.79,9545.55
252,252,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,253,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,254,8,1.0,1.0,13.9,21.10229996642546,0.03517049994404243,100.62,89.11
255,255,8,1.0,1.0,6.72,2.385910803957379,0.003976518006595631,35.28,32.22
256,256,8,1.0,1.0,16.38,18.806044886887207,0.03134340814481201,63.09,61.49
257,257,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,258,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,259,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,260,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,261,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,262,8,1.0,1.0,8.59,3.0051310500255557,0.005008551750042593,23.49,22.55
263,263,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,264,8,18.0,42.0,24.35,542.1162165355156,0.9035270275591927,9507.62,9528.43
265,265,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,266,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,267,8,1.0,1.0,12.3,19.699341636043705,0.03283223606007284,47.7,50.72
268,268,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,269,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,270,9,1.0,1.0,14.14,20.292555361589883,0.03382092560264981,59.21,52.4
271,271,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,272,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,273,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,274,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,275,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,276,9,21.0,37.0,20.48,513.2206723325003,0.8553677872208337,9561.31,9549.73
277,277,9,1.0,1.0,11.66,16.343116913064378,0.02723852818844063,85.51,85.87
278,278,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,279,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,280,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,281,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,282,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,283,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,284,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,285,9,1.0,1.0,13.6,18.39831592562974,0.030663859876049564,105.08,98.96
286,286,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,287,9,1.0,1.0,12.85,1.5654508357747634,0.002609084726291272,69.5,70.57
288,288,9,1.0,1.0,10.29,1.2807038543184106,0.0021345064238640177,23.59,21.9
289,289,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,290,9,1.0,1.0,10.22,28.591162805120025,0.04765193800853337,86.12,76.49
291,291,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,292,9,1.0,1.0,19.56,23.05252233069159,0.038420870551152654,91.2,82.99
293,293,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,294,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,295,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,296,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,297,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,298,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,299,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,300,10,1.0,1.0,15.5,18.938110863390225,0.031563518105650376,66.77,67.64
301,301,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,302,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,303,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,304,10,1.0,1.0,16.08,20.037122777448154,0.03339520462908026,70.48,64.86
305,305,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,306,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,307,10,1.0,1.0,23.73,17.761374026737542,0.02960229004456257,123.85,127.87
308,308,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,309,10,1.0,1.0,6.92,1.9703266738084935,0.0032838777896808226,24.18,24.72
310,310,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,311,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,312,10,1.0,1.0,10.56,3.466080131482256,0.005776800219137093,30.33,29.88
313,313,10,19.0,33.0,15.97,539.2711137352918,0.8987851895588197,9696.57,9574.43
314,314,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,315,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,316,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,317,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,318,10,1.0,1.0,22.37,15.631641222434823,0.026052735370724705,76.67,79.15
319,319,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,320,10,11.0,21.0,19.32,313.49949506828955,0.5224991584471492,5609.73,5629.61
321,321,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,322,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,323,10,1.0,2.0,30.94,13.059307661264391,0.021765512768773986,64.89,62.37
324,324,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,325,10,1.0,1.0,6.04,2.464126461746792,0.004106877436244653,27.5,31.24
326,326,10,1.0,1.0,9.19,5.228189756114473,0.008713649593524121,41.02,36.59
327,327,10,1.0,1.0,12.82,26.176421230016082,0.04362736871669347,90.19,87.25
328,328,10,1.0,1.0,15.63,23.95253383140861,0.03992088971901435,114.24,119.53
329,329,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,330,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,331,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,332,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,334,11,1.0,1.0,11.29,4.512614261312811,0.007521023768854685,43.22,40.61
335,335,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,336,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,337,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,338,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,339,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,340,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,341,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,342,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,343,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,344,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,345,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,346,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,347,11,1.0,1.0,12.56,24.816783015724187,0.04136130502620698,97.36,89.24
348,348,11,18.0,32.0,16.33,526.0857460584119,0.8768095767640198,9592.45,9580.9
349,349,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,350,11,1.0,1.0,14.38,21.81553378884476,0.03635922298140793,64.79,56.45
351,351,11,1.0,1.0,12.67,23.391795403803506,0.03898632567300584,82.72,77.88
352,352,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,353,11,1.0,1.0,25.09,14.908690761805918,0.024847817936343195,69.48,73.42
354,354,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,355,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,356,11,1.0,1.0,9.68,1.6838975812732269,0.0028064959687887116,31.76,38.59
357,357,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,358,11,1.0,2.0,16.4,27.602792340468525,0.04600465390078087,127.58,105.97
359,359,11,1.0,1.0,22.1,10.904219009977375,0.01817369834996229,75.56,68.03
